YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,AVG_DEMOG_SCORE_AGDU,PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGND,PERSON_YEARS_AGND
2024,ALABAMA,PIKE,01,540,79253.85,0.92173,0.95818,24,10700.58,0.8682,0.93424,169.08,19897.61,1.00717,1.10262,119.17,11886.94,1.07101,1.0687,1123.17
2024,ALABAMA,RANDOLPH,01,550,68700.2,0.80834,0.95803,6.33,12684.45,0.90762,0.95313,237.33,18881.55,0.89986,1.02492,129.25,12355.98,0.92546,1.05719,1616.75
2024,ALABAMA,RUSSELL,01,560,90255.9,0.98381,0.97471,53.75,9694.46,0.85087,0.89993,521.42,22347.38,1.03972,1.03508,181,12101.69,1.11059,1.05625,2753.08
2024,ALABAMA,"ST. CLAIR",01,570,77299.76,0.90422,0.983,44.25,11621.43,1.0007,0.90194,551.58,22027.13,1.14406,1.02798,149.58,13832.82,1.19839,1.0312,4357.92
2024,ALABAMA,SHELBY,01,580,97206.29,0.9806,0.95817,53.58,13089.49,1.03811,0.90631,738.17,20340.34,0.96967,1.01141,230.17,13007.22,1.04842,1.00476,10535.83
2024,ALABAMA,SUMTER,01,590,73687.87,1.06939,1.06811,11.5,9594.99,0.87537,1.01144,113.83,18503.45,0.85613,1.02073,105.83,11716.07,1.03316,1.05918,476.17
2024,ALABAMA,TALLADEGA,01,600,81494.34,0.97862,0.99241,30.42,9636.04,0.91345,0.93618,644.75,23789.4,1.05086,1.03547,214.25,13191.91,1.14179,1.08445,3744.67
2024,ALABAMA,TALLAPOOSA,01,610,83383,0.86989,1.02885,25.25,10875.06,0.90618,0.93587,359.92,23071.76,1.06703,1.05713,175,12420.34,1.04806,1.06767,2734
2024,ALABAMA,TUSCALOOSA,01,620,96187.11,0.89576,0.99868,93.33,12121.34,0.91652,0.94496,1531.08,19820.2,1.02615,1.01812,585.08,12906.07,1.05796,1.05645,8422
2024,ALABAMA,WALKER,01,630,79991.34,0.98026,0.98875,25.83,10501.59,0.89672,0.94942,636,24219.36,0.99551,1.04133,217.08,14082.59,1.13232,1.106,3274.75
